userId,movieId,tagId,timestamp
2,60756,1,2015-10-24 19:29:54
2,60756,2,2015-10-24 19:29:56
2,60756,3,2015-10-24 19:29:52
2,89774,4,2015-10-24 19:33:27
2,89774,5,2015-10-24 19:33:20
2,89774,6,2015-10-24 19:33:25
2,106782,7,2015-10-24 19:30:54
2,106782,8,2015-10-24 19:30:51
2,106782,9,2015-10-24 19:30:56
7,48516,10,2007-01-25 01:08:45
18,431,11,2016-05-01 21:39:25
18,431,12,2016-05-01 21:39:09
18,431,13,2016-05-01 21:39:15
18,1221,11,2016-04-26 19:35:06
18,1221,13,2016-04-26 19:35:03
18,5995,14,2016-02-17 18:57:52
18,5995,15,2016-02-17 18:57:59
18,44665,16,2016-03-02 19:51:23
18,52604,17,2016-03-10 22:58:16
18,52604,18,2016-03-10 22:58:31
18,52604,16,2016-03-10 22:58:02
18,88094,19,2016-03-08 13:41:40
18,88094,20,2016-03-08 13:43:12
18,88094,21,2016-03-08 13:43:29
18,144210,22,2016-02-09 23:26:21
18,144210,23,2016-02-09 23:27:32
21,1569,24,2014-12-28 22:23:33
21,1569,25,2014-12-28 22:23:39
21,118985,26,2014-12-28 22:24:37
21,119141,27,2014-12-28 19:12:42
49,109487,28,2017-04-25 04:08:26
49,109487,29,2017-04-25 04:08:52
49,109487,30,2017-04-25 04:09:16
62,2,31,2018-06-12 22:52:09
62,2,32,2018-06-12 22:52:12
62,2,33,2018-06-12 22:51:47
62,110,34,2018-06-04 22:49:01
62,110,35,2018-06-04 22:48:52
62,110,36,2018-06-04 22:48:43
62,110,37,2018-06-04 22:48:47
62,110,38,2018-06-04 22:48:48
62,110,39,2018-06-04 22:48:41
62,110,40,2018-06-04 22:48:59
62,110,41,2018-06-04 22:48:51
62,110,42,2018-06-04 22:48:55
62,410,43,2018-05-06 19:56:47
62,410,44,2018-05-06 19:58:05
62,410,45,2018-05-06 19:57:02
62,410,46,2018-05-06 19:56:50
62,410,47,2018-05-06 19:58:28
62,410,48,2018-05-06 19:56:49
62,2023,11,2018-05-06 19:58:48
62,2023,49,2018-05-06 19:59:28
62,2023,50,2018-05-06 19:59:12
62,2023,51,2018-05-06 19:59:12
62,2023,13,2018-05-06 19:58:53
62,2124,43,2018-05-06 20:00:47
62,2124,44,2018-05-06 20:01:07
62,2124,45,2018-05-06 20:00:59
62,2124,47,2018-05-06 20:00:55
62,2124,48,2018-05-06 20:00:49
62,2124,52,2018-05-06 20:00:46
62,2953,47,2018-05-06 20:01:23
62,2953,1,2018-05-06 20:01:25
62,2953,53,2018-05-06 20:01:30
62,2953,54,2018-05-06 20:01:27
62,3114,55,2018-05-06 20:01:43
62,3114,56,2018-05-06 20:01:42
62,3114,1,2018-05-06 20:01:53
62,3114,57,2018-05-06 20:01:57
62,3114,58,2018-05-06 20:01:41
62,3114,54,2018-05-06 20:01:50
62,3114,59,2018-05-06 20:02:05
62,3578,60,2018-06-04 22:48:24
62,3578,35,2018-06-04 22:47:49
